Date,Open,High,Low,Close,Volume
2003-11-18,1.63,1.7,1.6,1.62,753863103.0
2003-11-19,1.61,1.64,1.61,1.63,96487383.0
2003-11-20,1.63,1.66,1.62,1.66,80413119.0
2003-11-21,1.67,1.71,1.65,1.65,83514726.0
2003-11-24,1.65,1.75,1.65,1.74,67664675.0
2003-11-25,1.74,1.76,1.72,1.73,73092530.0
2003-11-26,1.73,1.76,1.72,1.73,30557854.0
2003-11-27,1.73,1.76,1.72,1.74,34184475.0
2003-11-28,1.75,1.8,1.75,1.79,46420361.0
2003-12-01,1.79,1.84,1.78,1.83,60715269.0
2003-12-02,1.84,1.85,1.83,1.83,49673663.0
2003-12-03,1.83,2.01,1.83,1.93,123634920.0
2003-12-04,1.93,1.98,1.92,1.95,80532968.0
2003-12-05,1.96,1.98,1.92,1.96,65851201.0
2003-12-08,1.96,1.97,1.92,1.93,41100554.0
2003-12-09,1.93,1.98,1.93,1.98,53130054.0
2003-12-10,1.98,2.03,1.98,2.02,62604522.0
2003-12-11,2.03,2.05,1.96,1.99,81716704.0
2003-12-12,1.98,2.0,1.96,1.98,36584294.0
2003-12-15,1.98,1.99,1.96,1.97,30550542.0
2003-12-16,1.96,2.02,1.94,2.01,54410022.0
2003-12-17,1.99,2.04,1.98,1.98,48720370.0
2003-12-18,1.97,2.04,1.97,2.02,34982281.0
2003-12-19,2.03,2.12,2.03,2.09,86725345.0
2003-12-22,2.11,2.28,2.09,2.25,95295105.0
2003-12-23,2.25,2.29,2.24,2.28,62355811.0
2003-12-24,2.28,2.32,2.25,2.32,50427107.0
2003-12-25,2.33,2.37,2.28,2.31,59412995.0
2003-12-26,2.31,2.32,2.27,2.28,38569083.0
2003-12-29,2.27,2.3,2.25,2.26,32623334.0
2003-12-30,2.26,2.37,2.26,2.35,69945314.0
2003-12-31,2.37,2.38,2.27,2.27,50752639.0
2004-01-02,2.28,2.36,2.27,2.31,37709688.0
2004-01-05,2.31,2.43,2.29,2.41,82084105.0
2004-01-06,2.41,2.42,2.34,2.38,88712116.0
2004-01-07,2.38,2.5,2.35,2.42,90452548.0
2004-01-08,2.42,2.45,2.39,2.42,43007348.0
2004-01-09,2.42,2.45,2.32,2.33,60537381.0
2004-01-12,2.33,2.4,2.27,2.39,66829066.0
2004-01-13,2.4,2.4,2.3,2.32,45907320.0
2004-01-14,2.32,2.34,2.28,2.3,28824540.0
2004-01-15,2.3,2.33,2.25,2.25,41954580.0
2004-01-16,2.26,2.34,2.26,2.31,41367966.0
2004-01-29,2.31,2.34,2.29,2.33,21044688.0
2004-01-30,2.33,2.36,2.28,2.29,32595507.0
2004-02-02,2.52,2.52,2.33,2.37,99835968.0
2004-02-03,2.37,2.42,2.35,2.41,38943150.0
2004-02-04,2.41,2.61,2.41,2.57,94118764.0
2004-02-05,2.57,2.6,2.53,2.58,41389287.0
2004-02-06,2.58,2.58,2.52,2.55,33573141.0
2004-02-09,2.56,2.61,2.54,2.56,28180910.0
2004-02-10,2.56,2.57,2.48,2.5,34964524.0
2004-02-11,2.5,2.51,2.44,2.47,37963693.0
2004-02-12,2.5,2.51,2.33,2.34,73026053.0
2004-02-13,2.33,2.38,2.32,2.34,37122371.0
2004-02-16,2.35,2.39,2.34,2.39,33429351.0
2004-02-17,2.4,2.41,2.35,2.36,47690942.0
2004-02-18,2.36,2.38,2.33,2.37,27925117.0
2004-02-19,2.37,2.41,2.36,2.39,51395038.0
2004-02-20,2.39,2.4,2.37,2.38,21038314.0
2004-02-23,2.39,2.4,2.28,2.29,35458400.0
2004-02-24,2.28,2.32,2.25,2.3,29280401.0
2004-02-25,2.3,2.36,2.28,2.3,19574663.0
2004-02-26,2.3,2.34,2.26,2.34,25823242.0
2004-02-27,2.35,2.38,2.33,2.35,21895110.0
2004-03-01,2.35,2.35,2.29,2.33,19291123.0
2004-03-02,2.34,2.36,2.3,2.31,18607398.0
2004-03-03,2.31,2.34,2.25,2.28,23755499.0
2004-03-04,2.27,2.29,2.22,2.24,27046919.0
2004-03-05,2.24,2.28,2.22,2.24,17186536.0
2004-03-08,2.24,2.25,2.22,2.22,14198038.0
2004-03-09,2.23,2.29,2.22,2.25,23094768.0
2004-03-10,2.26,2.36,2.26,2.35,48307505.0
2004-03-11,2.35,2.38,2.33,2.35,34019181.0
2004-03-12,2.35,2.38,2.34,2.36,22138805.0
2004-03-15,2.36,2.44,2.35,2.41,41299024.0
2004-03-16,2.42,2.47,2.4,2.42,36584088.0
2004-03-17,2.42,2.44,2.39,2.42,18174481.0
2004-03-18,2.42,2.44,2.39,2.39,23897293.0
2004-03-19,2.38,2.44,2.36,2.43,17853076.0
2004-03-22,2.42,2.45,2.4,2.41,15176842.0
2004-03-23,2.41,2.41,2.36,2.36,15300401.0
2004-03-24,2.36,2.38,2.35,2.36,10058420.0
2004-03-25,2.35,2.37,2.32,2.34,13141468.0
2004-03-26,2.33,2.34,2.31,2.33,10777752.0
2004-03-29,2.33,2.38,2.32,2.36,11477529.0
2004-03-30,2.36,2.38,2.33,2.33,9008942.0
2004-03-31,2.34,2.4,2.33,2.36,18081255.0
2004-04-01,2.37,2.43,2.35,2.42,27606980.0
2004-04-02,2.42,2.48,2.42,2.45,39144879.0
2004-04-05,2.45,2.47,2.4,2.41,22119351.0
2004-04-06,2.4,2.43,2.39,2.42,15118431.0
2004-04-07,2.43,2.46,2.4,2.4,19547408.0
2004-04-08,2.4,2.44,2.39,2.41,23086531.0
2004-04-09,2.42,2.43,2.35,2.38,22585715.0
2004-04-12,2.35,2.4,2.33,2.36,22846734.0
2004-04-13,2.36,2.41,2.35,2.4,22232333.0
